Tue Jun 27 16:03:11 2023    profiling/output.dat

         8523774 function calls (8519569 primitive calls) in 14.574 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       86    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap>:901(_find_spec)
     7026    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      700    0.001    0.000    0.004    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:341(check_tank_display_input)
      335    0.001    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1144(__init__)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
   339/77    0.001    0.000    0.020    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:435(_parse_sub)
     1406    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      846    0.001    0.000    0.020    0.000 D:\Programmation\Pycharm\Python\Tank-Game\game.py:396(check_collisions_tanks)
      464    0.001    0.000    0.186    0.000 D:\Programmation\Pycharm\Python\Tank-Game\game.py:304(check_input)
     1406    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      192    0.001    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:205(_legacy_cmpkey)
       66    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      154    0.001    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\bullet.py:30(get_bounds)
        2    0.001    0.000    0.002    0.001 D:\Programmation\Pycharm\Python\Tank-Game\game.py:107(create_maze)
      288    0.001    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:271(__init__)
       58    0.001    0.000    0.001    0.000 {built-in method builtins.print}
     1482    0.001    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:187(_parse_version_parts)
        1    0.001    0.001    0.005    0.005 D:\Programmation\Pycharm\Python\Tank-Game\assets.py:20(init)
      776    0.001    0.000    0.007    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2067(dist_factory)
     1761    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
1793/1789    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1074    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      365    0.001    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:423(_simple)
      464    0.001    0.000    0.037    0.000 D:\Programmation\Pycharm\Python\Tank-Game\game.py:333(move_bullets)
      727    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FF8C9F83C60}
      471    0.001    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\copy.py:258(_reconstruct)
     2858    0.001    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:249(match)
