Tue Jun 27 16:03:11 2023    profiling/output.dat

         8523774 function calls (8519569 primitive calls) in 14.574 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  281/278    0.003    0.000    0.024    0.000 {built-in method builtins.__build_class__}
       86    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      700    0.003    0.000    0.024    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:262(check_input)
       78    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1341(find_spec)
       78    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1309(_get_spec)
        1    0.000    0.000    0.022    0.022 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\email\parser.py:5(<module>)
        1    0.000    0.000    0.021    0.021 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\email\feedparser.py:5(<module>)
       77    0.000    0.000    0.021    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:937(parse)
   339/77    0.001    0.000    0.020    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:435(_parse_sub)
      846    0.001    0.000    0.020    0.000 D:\Programmation\Pycharm\Python\Tank-Game\game.py:396(check_collisions_tanks)
   492/81    0.007    0.000    0.020    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:493(_parse)
        1    0.000    0.000    0.020    0.020 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\email\_policybase.py:1(<module>)
     2516    0.013    0.000    0.019    0.000 D:\Programmation\Pycharm\Python\Tank-Game\tank.py:144(get_bounds)
       18    0.005    0.000    0.017    0.001 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:428(__init__)
        1    0.000    0.000    0.017    0.017 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:26(<module>)
       63    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:976(get_data)
    17/12    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    0.014    0.014 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:554(_build_master)
        1    0.000    0.000    0.014    0.014 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:541(__init__)
       25    0.000    0.000    0.013    0.001 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:3268(<genexpr>)
       24    0.000    0.000    0.013    0.001 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2774(activate)
        1    0.000    0.000    0.012    0.012 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\email\utils.py:5(<module>)
      242    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
       14    0.000    0.000    0.012    0.001 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2006(_by_version_descending)
       15    0.000    0.000    0.012    0.001 {built-in method builtins.sorted}
       63    0.011    0.000    0.011    0.000 {built-in method io.open_code}
       26    0.000    0.000    0.011    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2779(__init__)
      208    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       31    0.000    0.000    0.010    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2185(_handle_ns)
        2    0.000    0.000    0.010    0.005 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:146(__init__)
       77    0.000    0.000    0.010    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:598(_code)
        1    0.000    0.000    0.009    0.009 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\zipfile.py:1(<module>)
       24    0.000    0.000    0.009    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2288(fixup_namespace_packages)
       96    0.000    0.000    0.009    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2118(distributions_from_metadata)
   819/77    0.003    0.000    0.009    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:71(_compile)
        1    0.000    0.000    0.009    0.009 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\specifiers.py:4(<module>)
      144    0.000    0.000    0.008    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\genericpath.py:39(isdir)
        1    0.000    0.000    0.008    0.008 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:5399(pyparsing_common)
        1    0.000    0.000    0.008    0.008 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:53(__init__)
     1164    0.008    0.000    0.008    0.000 {built-in method pygame.key.get_pressed}
       62    0.000    0.000    0.007    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2052(<genexpr>)
      776    0.001    0.000    0.007    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2067(dist_factory)
        1    0.000    0.000    0.006    0.006 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\specifiers.py:333(Specifier)
        1    0.000    0.000    0.006    0.006 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\shutil.py:1(<module>)
        2    0.000    0.000    0.006    0.003 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:387(confirm_settings)
        1    0.000    0.000    0.006    0.006 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\platform.py:3(<module>)
        1    0.000    0.000    0.006    0.006 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\email\header.py:5(<module>)
    12016    0.003    0.000    0.006    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:254(get)
        1    0.000    0.000    0.006    0.006 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\socket.py:4(<module>)
        1    0.000    0.000    0.006    0.006 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\plistlib.py:1(<module>)
        7    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1106(create_module)
        7    0.005    0.001    0.005    0.001 {built-in method _imp.create_dynamic}
       63    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
        1    0.001    0.001    0.005    0.005 D:\Programmation\Pycharm\Python\Tank-Game\assets.py:20(init)
       72    0.005    0.000    0.005    0.000 {built-in method nt.listdir}
       63    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
      700    0.001    0.000    0.004    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:341(check_tank_display_input)
       27    0.000    0.000    0.004    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1039(_trim_arity)
       24    0.004    0.000    0.004    0.000 {built-in method pygame.image.load}
       26    0.000    0.000    0.004    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1047(extract_stack)
       25    0.000    0.000    0.004    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1250(setParseAction)
    11655    0.004    0.000    0.004    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:422(check_hovered)
       26    0.000    0.000    0.004    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\traceback.py:200(extract_stack)
       65    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
       26    0.000    0.000    0.004    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\traceback.py:321(extract)
      933    0.001    0.000    0.004    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\ntpath.py:77(join)
        1    0.000    0.000    0.004    0.004 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:4(<module>)
       48    0.000    0.000    0.004    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2021(_by_version)
        1    0.000    0.000    0.004    0.004 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\appdirs.py:6(<module>)
       48    0.000    0.000    0.004    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2027(<listcomp>)
      240    0.000    0.000    0.003    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:48(parse)
      471    0.000    0.000    0.003    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1167(copy)
       12    0.000    0.000    0.003    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4251(__init__)
